Key;English;;;;;;;;;;;;;
GREAT_WARS_ENABLED_DESC; = 대전쟁 발견\n;;;;;;;;;;;;;
GREAT_WARS_DISABLED_DESC; ≠ 대전쟁 발견\n;;;;;;;;;;;;;
GREAT_WARS_ENABLE_DESC;전쟁이 대전쟁으로 진화할 수 있습니다!;;;;;;;;;;;;;
GREAT_WAR_NAME;$ORDER$대전쟁;;;;;;;;;;;;;
GW_DISCOVERED_SETUP;대전쟁이 발견됐을 때;;;;;;;;;;;;;
GW_DISCOVERED_HEADER;대전쟁 발견!;;;;;;;;;;;;;
GW_DISCOVERED_1;대전쟁 발견!;;;;;;;;;;;;;
GW_DISCOVERED_2;지금부터 각각의 진영에;;;;;;;;;;;;;
GW_DISCOVERED_3;강대국이 2개국 이상 참여한 전쟁은;;;;;;;;;;;;;
GW_DISCOVERED_4;[SUB_A7]Y대전쟁[SUB_A7]W으로;;;;;;;;;;;;;
GW_DISCOVERED_5;전환됩니다.;;;;;;;;;;;;;
GW_DISCOVERED_6;*;;;;;;;;;;;;;
GW_DISCOVERED_BTN1;확인;;;;;;;;;;;;;
GW_DISCOVERED_BTN2;확인;;;;;;;;;;;;;
GW_DISCOVERED_BTN3;참조;;;;;;;;;;;;;
GW_DISCOVERED_LOG;대전쟁이 발견됐습니다.;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_SETUP;우리나라가 참전한 전쟁이 대전쟁 지위를 얻었을 때;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_HEADER;대전쟁!;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_1;$WAR$;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_2;$WAR$은 이제;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_3;[SUB_A7]Y대전쟁[SUB_A7]W입니다.;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_4;*;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_5;*;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_6;*;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_BTN1;확인;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_BTN2;확인;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_BTN3;참조;;;;;;;;;;;;;
WAR_GAIN_GW_STATUS_LOG;$WAR$이 [SUB_A7]Y대전쟁[SUB_A7]W으로 진화했습니다.;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_SETUP;우리나라가 참전한 전쟁이 대전쟁 지위를 잃었을 때;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_HEADER;대전쟁 탈락!;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_1;$WAR$;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_2;$WAR$은 이제;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_3;대전쟁이 아닙니다.;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_4;*;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_5;*;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_6;*;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_BTN1;확인;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_BTN2;확인;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_BTN3;참조;;;;;;;;;;;;;
WAR_LOST_GW_STATUS_LOG;$WAR$은 이제 [SUB_A7]Y대전쟁[SUB_A7]W이 아닙니다.;;;;;;;;;;;;;
GW_INTERVENE_MIN_RELATIONS;[SUB_A7]Y$TARGET$[SUB_A7]W 측과의 관계가 [SUB_A7]G$MIN$[SUB_A7]W 이상이어야 합니다. 현재 관계는 [SUB_A7]Y$VAL$[SUB_A7]W입니다.;;;;;;;;;;;;;
