Key;English;;;;;;;;;;;;;
DIPLOMACY_AI_ACCEPTANCE;[SUB_A7]Y$COUNTRY$[SUB_A7]W의 응답: [SUB_A7]Y$ODDS$[SUB_A7]W;;;;;;;;;;;;;
TOO_SOON_FOR_REFORM;다른 개혁을 제정하려면 [SUB_A7]Y$DATE$[SUB_A7]W까지 기다려야 합니다.;;;;;;;;;;;;;
SIEGE_EXTRA_ATTR;점령 저항으로 인한 소모율: [SUB_A7]R+$VAL$%[SUB_A7]W;;;;;;;;;;;;;
NO_SEPARATE_PEACE_CRISIS;위기로 인한 전쟁에서는 개별적으로 협상할 수 없습니다.;;;;;;;;;;;;;
CRISIS_RESOLUTION_EFFECTS;해당 중재안으로 위기를 해소하면 위신이 $VAL$ 증가합니다.;;;;;;;;;;;;;
CRISIS_RESOLUTION_RELATIONS;관계도 변동: ;;;;;;;;;;;;;
flintlock_rifle_armament;수발식 소총;;;;;;;;;;;;;
flintlock_rifle_armament_desc;17세기 초에 도입된 수발총은 구흘식 점화장치, 화승식 점화장치, 치륜식 점화장치 등 이전의 화기 점화기술을 빠르게 대체했습니다. 수발총은 뇌관과 탄약통 기반 체계로 대체되는 19세기 초중반까지 2세기 넘게 쓰였습니다. 오랫동안 현대식 화기로 대체됐지만, 사격 애호가 사이에서는 여전히 수발식 화기가 지속적인 인기를 누리고 있습니다.;;;;;;;;;;;;;
post_napoleonic_army_doctrine;나폴레옹 이후의 육군 교리;;;;;;;;;;;;;
post_napoleonic_army_doctrine_desc;프랑스 혁명과 나폴레옹 전쟁 이후 일어난 전쟁들은 군사전략에 혁명을 일으켰습니다. 이 시대의 영향은 여전히 미국 남북전쟁과 초기 제1차 세계대전에서 느낄 수 있습니다. 값싼 소형화기의 출현과 징집된 시민 군인의 부상과 함께, 군대는 거대한 대형을 이루도록 빠르게 성장했습니다. 이로 인해 처음에는 군대를 사단으로, 나중에는 군단으로 나눌 필요가 생겨났습니다. 사단과 함께 사단 포병도 탄생했습니다.;;;;;;;;;;;;;
